Dataset,Metric,006 Baseline,008 Homoglyph,Delta
PAN2025,ROC-AUC,0.9999,0.9998,-0.0001
PAN2025,Brier,0.0019,0.0021,0.0002
PAN2025,F1,0.9981,0.9978,-0.0003
PAN2025,C@1,0.9975,0.9972,-0.0003
PAN2025,F0.5u,0.9984,0.9989,0.0005
HC3,ROC-AUC,0.9982,0.9984,0.0002
HC3,Brier,0.0112,0.0060,-0.0052
HC3,F1,0.9868,0.9934,0.0066
HC3,C@1,0.9869,0.9935,0.0066
HC3,F0.5u,0.9947,0.9959,0.0012
RAID,ROC-AUC,0.8152,0.8082,-0.0070
RAID,Brier,0.1491,0.1602,0.0111
RAID,F1,0.8182,0.8032,-0.0150
RAID,C@1,0.8460,0.8284,-0.0176
RAID,F0.5u,0.9176,0.8808,-0.0368
